"Module","Gene"
"turquoise","LOC119693120"
"turquoise","LOC105392857"
"turquoise","LOC105385401"
"turquoise","LOC125490235"
"turquoise","LOC105387036"
"turquoise","LOC105394801"
"turquoise","LOC105385610"
"turquoise","LOC105382126"
"turquoise","LOC105382116"
"turquoise","LOC119690398"
"turquoise","LOC105389845"
"turquoise","LOC105389849"
"turquoise","LOC119690485"
"turquoise","LOC119690470"
"turquoise","LOC105381317"
"turquoise","LOC105381326"
"turquoise","LOC105384158"
"turquoise","LOC105384157"
"turquoise","LOC119690402"
"turquoise","LOC119694908"
"turquoise","LOC105395010"
"turquoise","LOC105383046"
"turquoise","LOC105383027"
"turquoise","LOC105383028"
"turquoise","LOC105382735"
"turquoise","LOC105382769"
"turquoise","LOC119690403"
"turquoise","LOC105394177"
"turquoise","LOC105392434"
"turquoise","LOC105392440"
"turquoise","LOC105392546"
"turquoise","LOC105382831"
"turquoise","LOC105382815"
"turquoise","LOC105382745"
"turquoise","LOC105383349"
"turquoise","LOC105391174"
"turquoise","LOC105384413"
"turquoise","LOC105388427"
"turquoise","LOC105391850"
"turquoise","LOC105382186"
"turquoise","LOC105387824"
"turquoise","LOC105387825"
"turquoise","LOC105389220"
"turquoise","LOC105381827"
"turquoise","LOC105381829"
"turquoise","LOC119690472"
"turquoise","LOC119692490"
"turquoise","LOC105393225"
"turquoise","LOC125490406"
"turquoise","LOC105389053"
"turquoise","LOC105386116"
"turquoise","LOC105384272"
"turquoise","LOC105388951"
"turquoise","LOC105388960"
"turquoise","LOC105383762"
"turquoise","LOC105382855"
"turquoise","LOC125488590"
"turquoise","LOC105382819"
"turquoise","LOC105382820"
"turquoise","LOC105386961"
"turquoise","LOC105392539"
"turquoise","LOC105382016"
"turquoise","LOC105386964"
"turquoise","LOC105386706"
"turquoise","LOC105383941"
"turquoise","LOC105383946"
"turquoise","LOC105392138"
"turquoise","LOC125490396"
"turquoise","LOC105391316"
"turquoise","LOC119692565"
"turquoise","LOC105391306"
"turquoise","LOC105394757"
"turquoise","LOC125490360"
"turquoise","LOC105385145"
"turquoise","LOC105395529"
"turquoise","LOC105380628"
"turquoise","LOC119692613"
"turquoise","LOC125490511"
"turquoise","LOC105392204"
"turquoise","LOC105392203"
"turquoise","LOC105392220"
"turquoise","LOC125490461"
"turquoise","LOC105395568"
"turquoise","LOC105391146"
"turquoise","LOC119691944"
"turquoise","LOC125490496"
"turquoise","LOC125488491"
"turquoise","LOC105382049"
"turquoise","LOC105382054"
"turquoise","LOC105390102"
"turquoise","LOC105394224"
"turquoise","LOC105383599"
"turquoise","LOC105392603"
"turquoise","LOC105386269"
"turquoise","LOC105386267"
"turquoise","LOC105386265"
"turquoise","LOC125490489"
"turquoise","LOC105398811"
"turquoise","LOC125490499"
"turquoise","LOC119691116"
"turquoise","LOC105384218"
"turquoise","LOC105381952"
"turquoise","LOC105393351"
"turquoise","LOC105393345"
"turquoise","LOC105393871"
"turquoise","LOC125490618"
"turquoise","LOC119691001"
"turquoise","LOC105386887"
"turquoise","LOC105381852"
"turquoise","LOC105387445"
"turquoise","LOC105380798"
"turquoise","LOC105398662"
"turquoise","LOC105398695"
"turquoise","LOC105398696"
"turquoise","LOC119691018"
"turquoise","LOC119691073"
"turquoise","LOC105382346"
"turquoise","LOC105382409"
"turquoise","LOC105382329"
"turquoise","LOC105397179"
"turquoise","LOC119691094"
"turquoise","LOC125490562"
"turquoise","LOC105393632"
"turquoise","LOC125490561"
"turquoise","LOC125490586"
"turquoise","LOC105398440"
"turquoise","LOC105398439"
"turquoise","LOC105380394"
"turquoise","LOC105386988"
"turquoise","LOC105392945"
"turquoise","LOC105382359"
"turquoise","LOC105381010"
"turquoise","LOC125490697"
"turquoise","LOC105390190"
"turquoise","LOC105384501"
"turquoise","LOC105388269"
"turquoise","LOC105385506"
"turquoise","LOC119692160"
"turquoise","LOC105380397"
"turquoise","LOC105383433"
"turquoise","LOC105395639"
"turquoise","LOC105391354"
"turquoise","LOC105391680"
"turquoise","LOC105387749"
"turquoise","LOC125490674"
"turquoise","LOC119692175"
"turquoise","LOC105388675"
"turquoise","LOC105388674"
"turquoise","LOC105388662"
"turquoise","LOC105382560"
"turquoise","LOC119691847"
"turquoise","LOC105390876"
"turquoise","LOC105381255"
"turquoise","LOC105392710"
"turquoise","LOC105392259"
"turquoise","LOC105383512"
"turquoise","LOC105383514"
"turquoise","LOC105382665"
"turquoise","LOC105387765"
"turquoise","LOC105387766"
"turquoise","LOC105387777"
"turquoise","LOC105387778"
"turquoise","LOC105388154"
"turquoise","LOC119691793"
"turquoise","LOC105397427"
"turquoise","LOC105395449"
"turquoise","LOC105390678"
"turquoise","LOC105392870"
"turquoise","LOC105390680"
"turquoise","LOC105383543"
"turquoise","LOC105385518"
"turquoise","LOC119691846"
"turquoise","LOC105387683"
"turquoise","LOC119691988"
"turquoise","LOC105389121"
